store_name,address,city,province,postal_code,country,website,email_primary,email_secondary,email_quality,facebook,instagram,tiktok,youtube,twitter,neighborhood
Bone & Biscuit - Meadows,4424 17 St NW,Edmonton,AB,T6T 0C1,Canada,https://boneandbiscuit.ca,,,,https://facebook.com/BoneAndBiscuit,https://instagram.com/boneandbiscuit,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/BoneandBiscuit,
Bone & Biscuit - Okotoks,201 Southridge Dr,Okotoks,AB,T1S,Canada,https://boneandbiscuit.ca,,,,https://facebook.com/BoneAndBiscuit,https://instagram.com/boneandbiscuit,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/BoneandBiscuit,
Bone & Biscuit - Red Deer,3020 22 St,Red Deer,AB,T4R 3J5,Canada,https://boneandbiscuit.ca,,,,https://facebook.com/BoneAndBiscuit,https://instagram.com/boneandbiscuit,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/BoneandBiscuit,
Bone & Biscuit - Regina,2101 Quance St,Regina,SK,S4V,Canada,https://boneandbiscuit.ca,,,,https://facebook.com/BoneAndBiscuit,https://instagram.com/boneandbiscuit,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/BoneandBiscuit,
Bone & Biscuit - Saskatoon,3020 Preston Ave S,Saskatoon,SK,S7T 0V2,Canada,https://boneandbiscuit.ca,,,,https://facebook.com/BoneAndBiscuit,https://instagram.com/boneandbiscuit,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/BoneandBiscuit,
Bone & Biscuit - Sherwood Park,11 Athabascan Ave,Sherwood Park,AB,T8A 6H2,Canada,https://boneandbiscuit.ca,,,,https://facebook.com/BoneAndBiscuit,https://instagram.com/boneandbiscuit,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/BoneandBiscuit,
Bone and Biscuit - Southtrail,4700 130 Ave SE,Calgary,AB,T2Z 4E7,Canada,https://boneandbiscuit.ca,,,,https://facebook.com/BoneAndBiscuit,https://instagram.com/boneandbiscuit,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/BoneandBiscuit,
Bone & Biscuit - Spruce Grove,131 Century Xing,Spruce Grove,AB,T7X 0C8,Canada,https://boneandbiscuit.ca,,,,https://facebook.com/BoneAndBiscuit,https://instagram.com/boneandbiscuit,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/BoneandBiscuit,
Bone & Biscuit - Stonecreek,108 Riverstone Rdg,Fort McMurray,AB,T9K 1S6,Canada,https://boneandbiscuit.ca/get-your-paws-moving-this-spring-with-paws-in-motion-bone-and-biscuits-newest-fitness-initiative-for-you-and-your-pet/,,,,https://facebook.com/BoneAndBiscuit/,https://instagram.com/boneandbiscuit/,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/BoneandBiscuit,
Bone & Biscuit - Summerside,1058 91 St SW,Edmonton,AB,T6X 0P2,Canada,https://boneandbiscuit.ca/location/edmonton-market-at-summerside/,,,,https://facebook.com/BoneAndBiscuitSummerside/,https://instagram.com/boneandbiscuitsummerside/,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/widgets.js,
Bone & Biscuit - Thickwood Blvd.,414 Thickwood Blvd,Fort McMurray,AB,T9K 1P1,Canada,https://boneandbiscuit.ca/location/fort-mcmurray-thickwood-blvd/,,,,https://facebook.com/BoneAndBiscuitFortMcMurray/,https://instagram.com/boneandbiscuitthickwood/,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/widgets.js,
Bone & Biscuit - Victoria,3571 Blanshard St,Victoria,BC,V8Z 0B9,Canada,https://boneandbiscuit.ca/location/victoria/,,,,https://facebook.com/BoneAndBiscuitVictoria,https://instagram.com/boneandbiscuitvictoria/,https://tiktok.com/@theboneandbiscuit,,https://twitter.com/widgets.js,
Bone Appetit - Kane,1940 Kane Rd,Kelowna,BC,V1V 2J9,Canada,https://boneappetitkelowna.com/,info@indiantypefoundry.com,dave@lab6.com,from website,https://facebook.com/boneappetitkelowna/?_rdr,https://instagram.com/boneappetitkelowna/,,,,
Bones Pet Stores,181 Smithe St,Vancouver,BC,V6B 4Z8,Canada,https://www.loc8nearme.com/british-columbia/vancouver/bones-pet-stores/6683357/,,,,https://facebook.com/Loc8NearMe/,,,,https://twitter.com/Loc8M,
Bosley's - Courtenay,3185 Cliffe Ave,Courtenay,BC,V9N 2L9,Canada,https://store.petvalu.ca/location/7203/,bof7203@bosleys.com,,from website,"https://facebook.com/petvalucourtenay&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/courtenaybosleys/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/courtenaybosleys/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Port Coquitlam,2850 Shaughnessy St,Port Coquitlam,BC,V3C 6K5,Canada,https://store.petvalu.ca/location/7045/,customercare@petvalu.com,,from website,"https://facebook.com/petvalu&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Marine Dr,1493 Marine Dr,North Vancouver,BC,V7P 1T5,Canada,https://store.petvalu.ca/location/7011/,customercare@petvalu.com,,from website,"https://facebook.com/petvalu&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/northvanbosleys/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/northvanbosleys/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Dollarton,2180 Dollarton Hwy,North Vancouver,BC,V7H 0B5,Canada,https://store.petvalu.ca/location/7054/,customercare@petvalu.com,,from website,"https://facebook.com/Bosleys7054&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Coquitlam,562 Clarke Rd,Coquitlam,BC,V3J,Canada,https://store.petvalu.ca/location/7057/,customercare@petvalu.com,,from website,"https://facebook.com/petvalu&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Murrayville,22196 50 Ave,Langley,BC,V2Y 2V4,Canada,https://store.petvalu.ca/location/7050/,customercare@petvalu.com,,from website,"https://facebook.com/petvalu&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Langley,20159 88 Ave E,Langley,BC,V1M 0A4,Canada,https://store.petvalu.ca/location/7049/,customercare@petvalu.com,,from website,"https://facebook.com/petvalu&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Abbotsford,2362 Whatcom Rd,Abbotsford,BC,V3G 0C1,Canada,https://store.petvalu.ca/location/7047/,customercare@petvalu.com,,from website,"https://facebook.com/petvalu&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Cloverdale,6466 176 St,Surrey,BC,V3S 4G3,Canada,https://store.petvalu.ca/location/7028/,customercare@petvalu.com,,from website,"https://facebook.com/petvalu&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Maple Ridge,22745 Dewdney Trunk Rd,Maple Ridge,BC,V2X 3K4,Canada,https://store.petvalu.ca/location/7031/,customercare@petvalu.com,,from website,"https://facebook.com/petvalu&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Parksville,280 Island Hwy E,Parksville,BC,V9P,Canada,https://store.petvalu.ca/location/7042/,bof7042@bosleys.com,,from website,"https://facebook.com/bosleysinparksville&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/bosleysparksville/&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/bosleysparksville/&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - Aldergrove,26310 Fraser Hwy,Aldergrove,BC,V4W 2Z7,Canada,https://store.petvalu.ca/location/7013/,customercare@petvalu.com,,from website,"https://facebook.com/petvalu&quot;],&quot;socialmedia_in&quot;:[0,&quot;https://www.instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free","https://instagram.com/petvalu/?hl=en&quot;],&quot;socialmedia_threads&quot;:[0,&quot;&quot;],&quot;socialmedia_pinterest&quot;:[0,&quot;&quot;],&quot;socialmedia_youtube&quot;:[0,&quot;&quot;],&quot;socialmedia_tiktok&quot;:[0,&quot;&quot;],&quot;banner_banner_text&quot;:[0,&quot;Free",https://tiktok.com/@petvalu,https://youtube.com/c/petvalu,,
Bosley's - New Westminster,1015 Columbia St,New Westminster,BC,,Canada,https://www.canadapages.com/bosleys-by-pet-valu-new-westminster-bc-6045225280/,,,,https://facebook.com/CanadaPages,,,,https://twitter.com/CanadaPages,
Bosley's - Victoria,4478 W Saanich Rd,Victoria,BC,V8Z 3E9,Canada,https://www.fyple.ca/company/bosleys-pet-food-plus-48b35c0/,,,,https://facebook.com/Fyple-Canada-226717404467637,,,,,
Bowen Pet Supply,994 Dorman Rd,Bowen Island,BC,V0N 1G1,Canada,https://bowenpetsupply.wixsite.com/bowenpetsupply,,,,https://facebook.com/bowenpetstore,,,,,
Buckerfield's - West Kelowna,2565 Main St,West Kelowna,BC,V4T 2B4,Canada,https://www.buckerfields.ca/location/west-kelowna-bc,contact.west-kelowna@buckerfields.ca,,from website,https://facebook.com/BuckerfieldsWestKelowna,,,,,
Buckerfield's - Saanichton,1970 Keating Cross Rd,Central Saanich,BC,V8M 2A6,Canada,https://www.buckerfields.ca/location/saanich-bc,contact.saanich@buckerfields.ca,,from website,https://facebook.com/SaanichBuckerfields,,,,,
Buckerfield's - Abbotsford,31852 Marshall Pl,Abbotsford,BC,V2T 5Z9,Canada,https://www.fraservalleylocal.ca/biz/2115/buckerfields-feeds-pet-supplies,,,,,,,,,
Buckerfield's - Nanaimo,1277 Island Hwy N,Nanaimo,BC,V9S,Canada,https://www.buckerfields.ca/location/nanaimo-bc,contact.nanaimo@buckerfields.ca,,from website,https://facebook.com/BuckerfieldsNanaimo,,,,,
Buckerfield's - Parksville,587 Alberni Hwy,Parksville,BC,V9P 1J9,Canada,https://www.shopinnanaimo.com/Buckerfield-s/11459357.htm,,,,,,,https://youtube.com/player_api,,
Buddies Natural Pet Food,2140 Keating Cross Rd,Central Saanich,BC,V8M 2A6,Canada,https://buddiesnaturalpetfood.ca/,,,,,,,,,
Cascadia Natural Pet Supply,4512 Main St,Vancouver,BC,V5V 3R5,Canada,https://cascadianatural.ca/,info@cascadianatural.ca,,from website,https://facebook.com/cascadianatural/,https://instagram.com/cascadianaturalpets/,,,,
Chow Bella Pet Health Store,235 Milligan Dr,Okotoks,AB,T1S 0B8,Canada,,,,,,,,,,
Clayton Critters Pet Food & Supplies,3516 Quadra St,Victoria,BC,V8X 1G9,Canada,,,,,,,,,,
College street Animal Hospital,486 College St,Toronto,ON,M6G 1A4,Canada,,,,,,,,,,
Companion Pet Food & Supplies,8671 No 1 Rd,Richmond,BC,V7C 1V2,Canada,,,,,,,,,,
Country Grocer Salt Spring,374 Lower Ganges Rd,Saltspring Island,BC,V8K 2V7,Canada,,,,,,,,,,
Creatures Great & Small,770 Bay St,Victoria,BC,,Canada,,,,,,,,,,
Critter Jungle Ltd.,1405 Carling Ave,Ottawa,ON,K1Z 7L6,Canada,,,,,,,,,,
Critters & Friends Pet Supplies,1451 Johnston Rd,White Rock,BC,V4B 3Z4,Canada,,,,,,,,,,
Cute Paws,1760 Marine Dr,West Vancouver,BC,V7V 1J4,Canada,,,,,,,,,,
D & H Pet Outfitter Inc,64 Moneta Ave,Timmins,ON,P4N 7R6,Canada,,,,,,,,,,
Dash's Pet Boutique,1214 10 Auburn Bay Ave SE,Calgary,AB,T3M,Canada,,,,,,,,,,
Dashing Dawgs,561 Cardero St,Vancouver,BC,V6G 3L2,Canada,,,,,,,,,,
Delta Vancouver Suites,550 W Hastings St,Vancouver,BC,V6B 1L6,Canada,,,,,,,,,,
Discover Dogs,701 Kingsway,Vancouver,BC,V5T 3K6,Canada,,,,,,,,,,
Dog Gone Healthy,7711 MacLeod Trl S,Calgary,AB,T2V,Canada,,,,,,,,,,
Dog Lounge,2783 Dundas St W,Toronto,ON,M6P 1Y4,Canada,,,,,,,,,,
Doggonit Doggy Daycare Inc.,410 176 St,Surrey,BC,V3Z 9S6,Canada,,,,,,,,,,
Dogma Training & Pet Services Inc.,2835 37 St SW,Calgary,AB,T3E 3B3,Canada,,,,,,,,,,
Dogs & Goddesses,1056 Old Derry Rd,Mississauga,ON,L5W 1A1,Canada,,,,,,,,,,
Dogwood Pet Mart Ltd,223 Dogwood St,Campbell River,BC,V9W 2Y1,Canada,,,,,,,,,,
Doodle Dogs Inc.,Parkdale Cres NW,Calgary,AB,T2N,Canada,,,,,,,,,,
Dream Dog Boutique,7172 Coach Hill Rd SW,Calgary,AB,T3H 1C8,Canada,https://www.dreamdogboutique.com/,dreamdog.ca@gmail.com,,from website,,,,,,
Elemental Canine,5723 176 St,Surrey,BC,V3S 4C9,Canada,https://opengovca.com/surrey-business/elemental-canine-inc,,,,,,,,,
Especially For Pets,436 16 Ave NE,Calgary,AB,T2E 1K2,Canada,https://www.especially4pets.com/,edinaliquor@edinamn.gov,,from website,https://www.facebook.com/especially4pets/,https://www.instagram.com/especially4petscalgary/,,,,
Euphoria Paradise,2621 Montrose Ave,Abbotsford,BC,V2S 3T5,Canada,https://www.alignable.com/abbotsford-bc/euphoria-paradise-abbotsford-wellness-for-people-pets,,,,,,,,,
Fairplay Stores,2604 Kensington Rd NW,Calgary,AB,T2N 3S5,Canada,http://www.fairplaystores.com/,fairplaypetsupply@gmail.com,,from website,https://www.facebook.com/FairplayStores/,https://www.instagram.com/fairplaystores/,,,,
Faithful Friends,8120 No 2 Rd,Richmond,BC,V7C 5J9,Canada,https://frommfamily.com/r/9486,,,,https://facebook.com/frommfamily,https://instagram.com/frommfamily,,,https://twitter.com/frommfamily,
Fetch Dog Grooming,2144 Quilchena Ave,Merritt,BC,V1K,Canada,https://www.bringfido.com/resource/36793,valerie@fetchgrooming.com,,from website,https://www.facebook.com/pages/BringFidocom/92703702876?ref=s,https://www.instagram.com/bringfido,https://www.tiktok.com/search?q=%23bringfido,,https://x.com/BringFido,
Fetch Haus,4946 53 Ave,Red Deer,AB,T4N 5J9,Canada,https://business.reddeerchamber.com/list/member/fetch-haus-enterprise-2022-ltd-6288,info@reddeerchamber.com,,from website,https://www.facebook.com/RedDeerChamber,https://www.instagram.com/reddeerchamber/,,,https://twitter.com/RedDeerChamber,
For Pet's Sake,3650 Mt Seymour Pkwy,North Vancouver,BC,V7H 2Y5,Canada,https://northshoreedge.ca/for-pets-sake/,,,,https://www.facebook.com/explorenorthshoreedge,https://www.instagram.com/northshore.edge,,https://www.youtube.com/@NorthShoreEdge,,
Four Paws Pet Grocery & Boutique,9810 7th St,Sidney,BC,V8L,Canada,https://four-paws-pet-grocery-boutique-pet-food-and.wheree.com/,,,,,,,,,
Funknfur Dog Spa - Aldersmith,Aldersmith Pl,Victoria,BC,V9A,Canada,http://ca.urlm.com/www.funknfur.ca,,,,http://www.facebook.com/pages/URLspy/452648804771072/,,,,https://twitter.com/URLspy,
Funknfur Dog Spa - Cordova,5126 Cordova Bay Rd,Victoria,BC,V8Y 2K5,Canada,https://unilocal.co.uk/canada/victoria/funk-n-fur-dog-spa,,,,,,,,,
G & E Pharmacy Edmonton,7326 82 Ave NW,Edmonton,AB,T6B 0G2,Canada,https://www.fyple.ca/company/g-and-e-pharmacy-3r8b19l/,,,,https://www.facebook.com/Fyple-Canada-226717404467637,,,,,
Gibsons Pet Food & Supplies,1100 Sunshine Coast Hwy,Gibsons,BC,V0N 1V7,Canada,https://frommfamily.com/r/17576,,,,https://facebook.com/frommfamily,https://instagram.com/frommfamily,,,https://twitter.com/frommfamily,
